RANK,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
183,Steven Adams,Okc,C,24,6,33.4,69.5,11.9,0.072,13,0.692,46,0.587,0,0,0.587,0.609,10.5,7.5,12.4,1.5,6.5,0.67,0.67,0.67,5.9,129.9,105.8
184,T.J. McConnell,Phi,PG,25,10,15.5,32.3,12.1,0.136,5,0.6,33,0.697,3,0.667,0.722,0.72,5.5,2.5,8.7,2.3,21.8,0.6,0,0.6,8.2,131.8,100.9
185,Taj Gibson,Min,PF,32,5,24.6,51.3,9.8,0.146,3,1,22,0.636,0,0,0.636,0.665,6.2,4,9.3,0.4,2.2,0.2,0.4,0.8,3.5,121.1,113.6
186,Tarik Black,Hou,C,26,7,2.7,5.6,11.8,0.2,0,0,4,0.25,0,0,0.25,0.25,0.3,0.9,17.9,0.3,14.3,0,0.14,0.14,6.4,,
187,Terrance Ferguson,Okc,SG,19,3,2.1,4.4,6.7,0,0,0,0,0,1,1,1.5,1.5,1,0.3,8.6,0.3,23.5,0,0,0,8.5,,
188,Terry Rozier,Bos,PG,23,19,36.6,76.3,20.2,0.07,56,0.821,119,0.479,147,0.347,0.502,0.538,16.5,5.2,7.9,5.7,24.9,1.26,0.32,1.16,8.6,103.1,104
189,Thaddeus Young,Ind,PF,29,7,33.8,70.5,13.7,0.096,13,0.385,53,0.642,7,0.286,0.617,0.601,11.3,7.6,12.7,1.4,6.1,1.57,0.86,1,5.8,121.4,97.1
190,Thon Maker,Mil,PF,20,6,21.6,45,12.3,0.114,7,0.714,8,0.625,20,0.3,0.5,0.531,5.5,3.8,10.4,0.8,5.2,0.17,1.83,0.67,4.7,105.7,100.1
191,Tim Frazier,Was,PG,27,2,3.1,6.4,7.2,0,0,0,1,0,0,0,0,0,0,0.5,9.3,1.5,59.6,0.5,0,0,0,,
192,TJ Leaf,Ind,PF,20,1,3.7,7.7,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
193,Tomas Satoransky,Was,SG,26,6,10,20.8,13.1,0.169,4,0.75,10,0.2,3,0,0.154,0.237,1.2,1.5,8.5,0.5,6.3,0,0,0.5,3.9,67.9,113.2
194,Tony Bradley,Uta,C,20,1,1.9,4,47.3,0,0,0,2,0.5,0,0,0.5,0.5,2,1,29.7,0,0,0,0,0,0,,
195,Tony Parker,San,PG,35,5,13.3,27.8,29.6,0.091,7,0.714,32,0.438,5,0,0.378,0.412,6.6,0.8,3.3,1.2,15.1,0.4,0,0.8,5.6,81.6,115.1
196,Tony Snell,Mil,SF,26,7,19.1,39.8,9.2,0.111,0,0,3,0.667,21,0.238,0.396,0.396,2.7,1.9,5.7,0.6,3.9,0.43,0.57,0.43,3,77.1,107.6
197,Trevor Ariza,Hou,SF,32,17,34.2,71.3,12.4,0.061,31,0.742,48,0.5,91,0.286,0.453,0.488,8.8,3.8,6.3,1.3,5.3,1.12,0.12,0.59,4.1,93.2,104.3
198,Trevor Booker,Ind,PF,30,7,9.1,19,9.9,0.071,7,0.857,9,0.667,1,0,0.6,0.688,2.6,2.6,16,0,0,0.14,0.14,0.14,0,141.7,84.9
199,Tristan Thompson,Cle,C,26,19,21.9,45.6,11.4,0.104,27,0.741,82,0.598,1,0,0.59,0.622,6.2,5.9,15.3,0.6,3.8,0.11,0.42,0.58,5.1,119.3,107.9
200,Ty Lawson,Was,PG,30,5,19.3,40.1,14.5,0.095,6,1,18,0.222,8,0.625,0.442,0.506,5.8,2.6,7.7,3,21.3,0.6,0,0.6,7.4,112.5,110.4
201,Tyler Johnson,Mia,SG,25,5,16.2,33.7,17.2,0.064,7,0.857,16,0.5,10,0.6,0.654,0.688,8,1.6,5.5,0.8,7.9,0.4,0,0.4,5.4,129.4,102.4
202,Tyler Zeller,Mil,C,28,7,9.4,19.6,5.3,0.129,4,0.75,5,0.8,0,0,0.8,0.814,1.6,2,12.5,0.4,6,0.57,0.43,0.14,4.6,156.1,90.8
203,Tyus Jones,Min,PG,21,4,13.8,28.6,6.4,0.125,0,0,5,0.4,2,0,0.286,0.286,1,2.3,9.4,2,18,0.25,0,0.25,4.8,91.1,119
204,Victor Oladipo,Ind,SG,25,7,37.3,77.6,29,0.142,41,0.732,70,0.429,57,0.404,0.508,0.548,22.7,8.3,12.6,6,25.2,2.43,0.43,3.43,11.2,104.8,99.6
205,Wade Baldwin IV,Por,PG,21,4,4.8,9.9,18.1,0.381,2,0.5,3,0,1,1,0.375,0.41,1,0.8,8.6,0.8,20.5,0.25,0.25,0.75,7.2,68.9,112.5
206,Wayne Ellington,Mia,SG,30,5,20.1,42,17.5,0.076,3,1,5,0,30,0.4,0.514,0.537,7.8,1.6,4.4,0.6,4.4,0.4,0.4,0.6,3.9,101.1,112.5
207,Zach Collins,Por,C,20,4,17.4,36.3,21.3,0.059,4,0.75,16,0.5,14,0.214,0.417,0.441,7,3,9.4,1.5,13.1,0.75,0.5,0.5,7.3,100,103.6
208,Zaza Pachulia,Gol,C,33,7,3.8,7.9,25.5,0.196,12,0.75,7,0.571,0,0,0.571,0.692,2.4,1.7,25.3,0.1,5.2,0.43,0.14,0.43,7.8,,
209,Zhou Qi,Hou,PF,22,3,1.9,4,7.6,0,0,0,1,1,0,0,1,1,0.7,0.3,9.7,0,0,0,0,0,0,,
